Buchungskreis,Marken Name Kurz,Standortname,Slug,Logo Filename,Straße,Hausnummer,PLZ,Stadt,Land Name,Standorttyp Name,Homepage,Breitengrad,Längengrad,Bundesland,Werblicher Anzeige Name,Breitengrad (Komma),Längengrad (Komma),,Statement,Statementgeber,Funktion des Statementgebers,Um wie viel Uhr wird das Licht ausgestellt?,Umsetzung der Maßnahmen bis 15.11.2022?,Änderung der Beleuchtung durch Teilnahme am Projekt?,Details zur Lichtabschaltung
926,G.U.T.,G.U.T. LIEDELT & SCHWANBECK KG,gut-liedelt-schwanbeck-kg,,Esmarchstr.,6,23795,Bad Segeberg,Germany,ABEX,https://www.gut-gruppe.de/unternehmen/liedelt-schwanbeck/standorte/abex-bad-segeberg-esmarchstr,53.949.030.000.000.000,10.306.690.000.000.000,SH,ABEX Bad Segeberg / Esmarchstr.,"53,94903","10,30669",,"Wir machen das Licht aus, weil es nicht einfacher sein kann, seinen Beitrag für weniger Lichtverschmutzung zu leisten – ohne selbst Einschränkungen zu haben. Beleuchtung ist für mittlerweile 20% des globalen Energieverbrauchs verantwortlich. Das ist enorm. Auch wir möchten ein Zeichen setzen und jeden zum Mitmachen motivieren. ",Tobias Grewe,PhG,20 Uhr,Ja,nein,
82,G.U.T.,G.U.T. Chiemgau KG,gut-chiemgau-kg,gut-chiemgau-kg-logo.jpg,Hochriesstr.,51,83209,Prien,Germany,HAUPTHAUS,https://www.gut-gruppe.de/de/unternehmen/chiemgau/locations/haupthaus-prien,47.845.755.207.019.100,12.348.030.642.852.700,BY,HAUPTHAUS Prien,"47,84575521","12,34803064",,"Als Teil der Kampagne „22 Uhr – Licht aus“ leisten auch wir einen Beitrag zum Arten-, Umwelt- und Klimaschutz. Weil wir das so gut finden, gehen bei der G.U.T. CHIEMGAU alle Lichter nicht erst um 22 Uhr, sondern bereits um 19 Uhr aus. Die gesamte im Freien sichtbare Werbebeleuchtung ist bereits zum Anbruch der Dunkelheit abgeschaltet. Mit der Teilnahme am Projekt „22 Uhr – Licht aus“ helfen wir mit, die Lichtverschmutzung zu reduzieren. Wir freuen uns über das Zertifikat und einen Eintrag auf der Seite des Projektes. G.U.T. fänden wir, wenn wir darüber viele weitere Unternehmen motivieren können, sich dem Projekt anzuschließen. Denn weniger Lichtverschmutzung bedeutet auch Energieeinsparung und eine Reduzierung der gravierenden Folgen für Umwelt, Mensch, Natur und Klima. ",Hubert Dostthaler,PhG,19 Uhr,Ja,nein,
82,G.U.T.,G.U.T. Chiemgau KG,gut-chiemgau-kg,,Hochriesstr.,51,83209,Prien,Germany,ABEX,https://www.gut-gruppe.de/de/unternehmen/chiemgau/locations/abex-prien-hochriesstr-0,47.845.640.000.000.000,12.348.610.000.000.000,BY,ABEX Prien / Hochriesstr.,"47,84564","12,34861",,"Als Teil der Kampagne „22 Uhr – Licht aus“ leisten auch wir einen Beitrag zum Arten-, Umwelt- und Klimaschutz. Weil wir das so gut finden, gehen bei der G.U.T. CHIEMGAU alle Lichter nicht erst um 22 Uhr, sondern bereits um 19 Uhr aus. Die gesamte im Freien sichtbare Werbebeleuchtung ist bereits zum Anbruch der Dunkelheit abgeschaltet. Mit der Teilnahme am Projekt „22 Uhr – Licht aus“ helfen wir mit, die Lichtverschmutzung zu reduzieren. Wir freuen uns über das Zertifikat und einen Eintrag auf der Seite des Projektes. G.U.T. fänden wir, wenn wir darüber viele weitere Unternehmen motivieren können, sich dem Projekt anzuschließen. Denn weniger Lichtverschmutzung bedeutet auch Energieeinsparung und eine Reduzierung der gravierenden Folgen für Umwelt, Mensch, Natur und Klima. ",Hubert Dostthaler,PhG,19 Uhr,Ja,nein,
82,G.U.T.,G.U.T. Chiemgau KG,gut-chiemgau-kg,,Altöttinger Straße,30,84524,Neuötting,Germany,ABEX,https://www.gut-gruppe.de/unternehmen/chiemgau/standorte/abex-neuoetting-altoettinger-strasse,48.234.197.800.000.000,12.686.377.100.000.000,BY,ABEX Neuötting / Altöttinger Straße,"48,2341978","12,6863771",,"Als Teil der Kampagne „22 Uhr – Licht aus“ leisten auch wir einen Beitrag zum Arten-, Umwelt- und Klimaschutz. Weil wir das so gut finden, gehen bei der G.U.T. CHIEMGAU alle Lichter nicht erst um 22 Uhr, sondern bereits um 19 Uhr aus. Die gesamte im Freien sichtbare Werbebeleuchtung ist bereits zum Anbruch der Dunkelheit abgeschaltet. Mit der Teilnahme am Projekt „22 Uhr – Licht aus“ helfen wir mit, die Lichtverschmutzung zu reduzieren. Wir freuen uns über das Zertifikat und einen Eintrag auf der Seite des Projektes. G.U.T. fänden wir, wenn wir darüber viele weitere Unternehmen motivieren können, sich dem Projekt anzuschließen. Denn weniger Lichtverschmutzung bedeutet auch Energieeinsparung und eine Reduzierung der gravierenden Folgen für Umwelt, Mensch, Natur und Klima. ",Hubert Dostthaler,PhG,19 Uhr,Ja,nein,
825,G.U.T.,Peter Spies KG,peter-spies-kg,,Carolinenhütte,31,35576,Wetzlar,Germany,ABEX,https://www.gut-gruppe.de/de/unternehmen/peter-spies/locations/abex-wetzlar-carolinenhuette,50.567.580.000.000.000,8.504.700.000.000.000,HE,ABEX Wetzlar / Carolinenhütte,"50,56758","8,5047",,,,,21 Uhr,Ja,nein,
825,G.U.T.,Peter Spies KG,peter-spies-kg,peter-spies-kg-logo.jpg,Carolinenhütte,31,35576,Wetzlar,Germany,HAUPTHAUS,https://www.gut-gruppe.de/de/unternehmen/peter-spies/locations/haupthaus-wetzlar,50.567.580.000.000.000,8.504.700.000.000.000,HE,HAUPTHAUS Wetzlar,"50,56758","8,5047",,,,,21 Uhr,Ja,nein,
825,G.U.T.,Peter Spies KG,peter-spies-kg,,Schorbachstr.,11,35510,Butzbach,Germany,ABEX,https://www.gut-gruppe.de/de/unternehmen/peter-spies/locations/abex-butzbach-schorbachstr,50.431.140.000.000.000,8.690.840.000.000.000,HE,ABEX Butzbach / Schorbachstr.,"50,43114","8,69084",,,,,21 Uhr,Ja,nein,
825,G.U.T.,Peter Spies KG,peter-spies-kg,,Johann-Ernst-Str.,3,35781,Weilburg,Germany,ABEX,https://www.gut-gruppe.de/de/unternehmen/peter-spies/locations/abex-weilburg-johann-ernst-str,50.483.820.000.000.000,8.284.330.000.000.000,HE,ABEX Weilburg / Johann-Ernst-Str.,"50,48382","8,28433",,,,,21 Uhr,Ja,nein,
825,G.U.T.,Peter Spies KG,peter-spies-kg,,Erdkauter Weg,21,35394,Gießen,Germany,ABEX,https://www.gut-gruppe.de/de/unternehmen/peter-spies/locations/abex-giessen-erdkauter-weg,50.570.644.302.355.400,8.684.143.547.329.760,HE,ABEX Gießen / Erdkauter Weg,"50,5706443","8,684143547",,,,,21 Uhr,Ja,nein,
679,G.U.T.,G.U.T. Offenburg KG,gut-offenburg-kg,,Im Mühlegrün,3,77716,Haslach,Germany,ABEX,https://www.gut-gruppe.de/unternehmen/offenburg/standorte/abex-haslach-im-muehlegruen,48.279.423.162.192.300,8.094.718.263.231.690,BW,ABEX Haslach / Im Mühlegrün,"48,27942316","8,094718263",,Selbstverständlich beteiligen wir uns an dem Projekt „22 Uhr – Licht aus“. Und sparen gleichzeitig Energie und schützen Insekten und Tier.  ,Martin Bitsch,PhG,21 Uhr,Ja,nein,
